#numfiles_with_numlinks numlinks 
1 50
6 11
3 30
5 8
1 55
1 58
11 0
1 88
1 143
1 38
1 39
17 2
4 10
2 81
1 65
1 96
1 52
3 19
1 46
9 9
2 28
1 349
2 15
39 1
1 108
1 32
2 53
1 120
6 20
4 7
3 13
1 36
1 105
3 31
5 33
1 92
5 23
2 27
6 26
8 14
1 107
1 59
1 116
9 6
6 16
1 40
9 17
2 49
13 3
1 34
2 122
3 21
1 185
2 25
17 5
1 54
2 41
1 45
8 18
1 73
1 42
2 90
1 125
1 74
2 72
22 4
1 70
3 12
3 24
3 22
