#obj_file src_file links_in links_out loc_changes
./commands/pkg_install/lib/license.o commands/pkg_install/lib/license.c 5 14 303
./commands/cawf/error.o commands/cawf/error.c 2 9 97
./commands/slip/slip.o commands/slip/slip.c 1 17 323
./commands/advent/vocab.o commands/advent/vocab.c 2 1 594
./commands/tar/subst.o commands/tar/subst.c 3 14 289
./commands/intr/intr.o commands/intr/intr.c 1 15 148
./commands/yacc/symtab.o commands/yacc/symtab.c 7 6 161
./commands/aal/system.o commands/aal/system.c 2 0 24
./commands/lex/ecs.o commands/lex/ecs.c 4 5 225
./commands/mdocml/mandoc.o commands/mdocml/mandoc.c 8 13 396
./commands/tar/bsdtar.o commands/tar/bsdtar.c 3 42 738
./commands/pkg_install/add/main.o commands/pkg_install/add/main.c 14 27 213
./commands/shar/shar.o commands/shar/shar.c 1 9 71
./commands/pax/tables.o commands/pax/tables.c 21 24 1284
./commands/swapfs/swapfs.o commands/swapfs/swapfs.c 1 21 2096
./commands/elle/eehelp.o commands/elle/eehelp.c 1 20 81
./commands/ping/ping.o commands/ping/ping.c 2 16 150
./drivers/dpeth/ne.o drivers/dpeth/ne.c 1 6 221
./commands/swifi/db_access.o commands/swifi/db_access.c 2 1 96
./commands/tail/tail.o commands/tail/tail.c 4 22 361
./servers/ext2/super.o servers/ext2/super.c 5 16 487
./servers/pfs/inode.o servers/pfs/inode.c 9 14 490
./servers/inet/clock.o servers/inet/clock.c 9 6 287
./servers/mfs/inode.o servers/mfs/inode.c 9 21 857
./boot/bootimage.o boot/bootimage.c 23 56 1919
./commands/yacc/reader.o commands/yacc/reader.c 5 84 1905
./commands/sed/compile.o commands/sed/compile.c 2 26 873
./commands/aal/rd_arhdr.o commands/aal/rd_arhdr.c 1 2 82
./commands/mdocml/mdoc.o commands/mdocml/mdoc.c 20 25 822
./commands/lex/main.o commands/lex/main.c 157 33 1178
./commands/rget/rget.o commands/rget/rget.c 1 21 290
./commands/nonamed/nonamed.o commands/nonamed/nonamed.c 1 58 2321
./commands/wc/wc.o commands/wc/wc.c 12 12 151
./commands/sed/main.o commands/sed/main.c 10 28 405
./commands/rawspeed/rawspeed.o commands/rawspeed/rawspeed.c 6 24 273
./servers/ext2/write.o servers/ext2/write.c 3 13 379
./commands/mdocml/man.o commands/mdocml/man.c 16 20 677
./commands/aal/write.o commands/aal/write.c 1 1 25
