#function_name function_calls
if_usb_submit_rx_urb 56
is_associated 56
free_tx_resources 56
mwifiex_read_reg 56
netdev_timer 56
sp_get 56
baycom_ioctl 56
setup_card 56
netdev_error 56
smsc9420_reg_write 56
kevent 55
il_wr_prph 55
mwl8k_tx 55
b43dbg 55
eeprom_cmd 55
libipw_rx 55
netdev_nway_reset 55
tx_avail 55
free_tx_desc 54
genphy_read_status 54
OUT4500 54
e1000_power_down_phy 54
net_send_packet 54
b43_lptab_write 54
set_rxmode 54
proc_read 54
wlc_phy_table_read_nphy 54
ql_build_coredump_seg_header 53
hw_setup 53
restart_tx 53
mii_ethtool_gset 53
mlx4_free_cmd_mailbox 53
wl1271_cmd_configure 52
and_phy_reg 52
rx_proc 52
mdiobus_unregister 52
igb_up 52
ath6kl_wmi_cmd_send 52
set_registers 52
init_link_config 52
vnic_dev_cmd 51
i596_reset 51
reset_device 51
e1000e_up 51
is_new_response 51
i596_rx 51
dump_packet 51
t1_tpi_read 50
e1000_validate_option 50
t_busy 50
hw_enable 50
encapsulate 50
genphy_config_aneg 50
hfa384x_cmd 50
mgt_get 50
smsc9420_reg_read 50
ath6kl_wmi_get_new_buf 50
isa_probe 49
brcmf_exec_dcmd 49
il_send_cmd 49
ipw2100_tx 49
process_rx 49
ath5k_hw_rfb_op 48
mlx4_alloc_cmd_mailbox 48
baycom_setmode 48
get_registers 48
NS8390_init 48
free_rx_bufs 48
desc_offset 48
ql_write_page0_reg 48
rx_refill 48
init_nic 48
phy_driver_register 48
mgt_get_request 48
handle_tx 48
lmc_mii_writereg 47
rt2500usb_register_read 47
irq_handler 47
atmel_co 47
b43legacyerr 47
b43_ntab_write_bulk 46
be_wrb_cmd_hdr_prepare 46
brcms_b_write_shm 46
e1000_reset 46
ath9k_hw_init 46
write_dma 46
kick_tx 46
ixgbe_up 46
mii_probe 46
link_changed 45
cmd_pending 45
start_timer 45
mace_interrupt 45
myri10ge_send_cmd 45
p54_tx 45
alloc586 45
startrecv586 45
be_clear 44
ether3_outw 44
zd_iowrite16a_locked 44
tg3_rx 44
rxq_init 44
mdio_set 44
tr_rx 44
write_zsreg 44
b43_debug 44
net_tx_timeout 44
unlink_all_urbs 44
get_mac_address 44
dm_write 44
check_if_running 44
mii_link_ok 44
rtl8180_write_phy 43
cas_phy_write 43
mii_ethtool_sset 43
igb_reset 43
write_grf5101 43
b43_pio_tx 43
accum_stats 43
irda_write 43
iwl_set_bit 43
hw_disable 43
eth_open 43
wlc_phy_stay_in_carriersearch_nphy 43
tx_config 42
ext_write 42
ath9k_ps_restore 42
ns_ioaddr 42
mac_set_rx_mode 42
free_rings 42
media_check 42
tg3_nvram_read 42
wl1271_init 42
is_beacon 42
set_phys_id 42
smsc75xx_write_reg 42
mgt_set_request 42
wrlp 42
unmap_skb 42
tr_tx 42
ath9k_hw_fbin2freq 42
mii_getbit 42
ath9k_ps_wakeup 42
sca_intr 42
port_to_dev 42
t_tail 41
rx_process 41
ath9k_tx 41
is_broadcast 41
b43legacy_shm_write16 41
b43_shm_read16 41
b43legacy_ilt_write 41
set_address 41
mdiobus_register 40
tg3_tx 40
mib_read 40
desc_phys 40
phy_interrupt 40
ks_wrreg16 40
rt2500usb_bbp_write 40
txq_init 40
genmii_poll_link 40
mii_nway_restart 40
rt61pci_bbp_write 40
wl1271_ps_elp_wakeup 40
wl1251_reg_write32 40
rtl_hw_start_8168 40
phy_disconnect 40
init_rx_bufs 40
register_bank 39
DevicePresent 39
ac_open 39
atl1c_write_phy_reg 39
check586 39
flits_to_desc 39
efx_mcdi_rpc 39
el3_rx 39
prism2_download 39
hecc_write 39
or_radio_reg 39
iwl_init 39
lmc_mii_readreg 39
happy_meal_tcvr_read 39
phy_probe 39
writeword 39
tg3_rd32_loop 38
b43_lptab_write_bulk 38
rt73usb_bbp_write 38
sf1_write 38
ixgbe_configure 38
be_mcc_notify 38
wl1271_ps_elp_sleep 38
wl3501_get_from_wla 38
ks8851_wrreg16 38
_print_next_block 38
generic_mii_ioctl 38
restart_autoneg 38
ixgbe_reset 37
deauthenticate 37
ath9k_hw_reset 37
led_init 37
xl_rx 37
put_res 37
rx_interrupt 37
pci_push 37
rt2500pci_bbp_write 37
wl1271_cmd_send 37
i596_cleanup_cmd 36
smc_interrupt 36
do_reset 36
lance_reset 36
i596_interrupt 36
rr_init 36
ax_open 36
update_rx_stats 36
rt61pci_config 36
el3_interrupt 36
alloc_rfa 36
desc_address 36
intr_callback 36
sgl_len 36
wrb_from_mccq 36
schedule_reset 36
smc_close 36
setup_data 36
t_idle 36
e1000_phy_force_speed_duplex 36
mwifiex_send_cmd_async 36
reset_tx 36
mace_open 36
unmap_descbuffer 36
txq_reclaim 36
el3_start_xmit 36
set_reset_mode 36
do_s2io_chk_alarm_bit 35
streamer_rx 35
wl1251_cmd_configure 35
tx_interrupt 35
zd_iowrite32 35
rt2800_rfcsr_read 35
set_bssid 35
wl1271_scan 35
bnad_tx 35
mac_disable 35
enet_dma_writel 35
read_register 35
next_slot 34
e1000e_reset 34
list_phy 34
ath_reset 34
br32 34
enet_writel 34
dev_setup 34
phy_scan 34
e1000_resume 34
mdio_reset 34
net_get_stats 34
flexcan_write 34
brcmf_sdcard_reg_read 34
ks8842_write16 34
smsc95xx_write_reg 34
b43legacydbg 34
mwl8k_post_cmd 34
ath9k_hw_analog_shift_rmw 34
rd_port 34
il_set_bit 34
emac_irq 34
mem_read 34
remove_rx_bufs 33
ap_get_sta 33
cxgb_up 33
init_channel 33
i596_start_xmit 33
atmel_set_mib 33
receive_buf 33
setup_rss 33
rxq_refill 33
smctr_malloc 33
ipw2100_hw_send_command 33
init_dev 33
SetMulticastFilter 33
wlc_lcnphy_write_table 33
nic_reset 33
ctrl_callback 33
hfa384x_from_bap 33
mace_close 33
i596_open 33
phy_mii_ioctl 33
lmc_t1_write 33
b43legacy_debug 33
bnx2x_set_gpio 33
mii_check_media 32
at91_emac_read 32
get_buf_addr 32
queue_get_desc 32
tp_init 32
baycom_int_freq 32
reg_pattern_test 32
close_candev 32
ack_tx 32
update_linkspeed 32
