Source;Target;Label;Weight
1117;316;__fclose_ca;1
1117;1034;strchr;1
1117;533;fgets;1
1089;769;__get_locale;1
1089;546;__unlock;1
1089;1248;memcpy;1
1089;949;__strchrnul;1
1089;546;__lock;1
1089;396;strlen;1
368;125;casin;1
176;941;clogf;1
176;470;cexpf;1
702;795;vsscanf;1
1063;98;stat;1
734;546;__unlock;1
734;546;__lock;1
163;255;__mkostemps;1
149;475;__h_errno_location;1
149;1118;malloc;1
149;767;gethostbyaddr_r;1
149;1118;free;1
451;1121;nanosleep;1
916;1248;memcpy;1
916;721;__getpw_a;1
916;1118;free;1
395;1248;memcpy;1
395;1116;strnlen;1
395;396;strlen;1
395;218;getenv;1
395;762;__errno_location;1
395;1034;strchr;1
395;532;execve;1
578;1087;fabsl;1
578;1221;expl;1
311;202;snprintf;1
973;577;__syscall_ret;1
180;982;atan2l;1
1135;577;__syscall_ret;1
208;914;isalnum;1
95;553;exp;1
95;481;cosh;1
95;200;cos;1
95;1268;copysign;1
95;564;__ldexp_cexp;1
95;253;sin;1
95;719;sinh;1
95;944;fabs;1
756;577;__syscall_ret;1
318;577;__syscall_ret;1
927;757;wcslen;1
747;553;exp;1
781;762;__errno_location;1
1146;332;__private_cond_signal;1
805;325;mknod;1
387;161;open;1
387;202;snprintf;1
387;997;tcsetattr;1
387;600;close;1
387;507;ioctl;1
402;936;strsignal;1
402;420;fprintf;1
842;230;sem_timedwait;1
1257;553;expm1;1
125;874;csqrt;1
125;956;clog;1
229;92;getservbyname_r;1
39;19;fabsf;1
39;628;sqrtf;1
39;731;scalbnf;1
1141;817;conf_write;1
1141;817;conf_get_changed;1
1141;256;dialog_inputbox;1
1141;420;fprintf;1
1141;817;sym_set_string_value;1
1141;326;init_dialog;1
1141;326;item_data;1
1141;326;dialog_clear;1
1141;326;item_tag;1
1141;725;fwrite;1
1141;817;menu_has_prompt;1
1141;817;sym_re_search;1
1141;396;strlen;1
1141;326;item_make;1
1141;817;sym_get_type;1
1141;326;item_set_data;1
1141;64;dialog_menu;1
1141;326;end_dialog;1
1141;749;printf;1
1141;1018;gettext;1
1141;817;get_relations_str;1
1141;326;set_dialog_backtitle;1
1141;1118;free;1
1141;326;item_set_tag;1
1141;817;sym_set_change_count;1
1141;218;getenv;1
1141;552;bindtextdomain;1
1141;817;str_new;1
1141;192;dialog_checklist;1
1141;817;conf_get_configname;1
1141;437;dialog_yesno;1
1141;1089;setlocale;1
1141;817;sym_is_changable;1
1141;1018;textdomain;1
1141;817;sym_get_string_value;1
1141;326;item_activate_selected;1
1141;817;str_get;1
1141;1241;strncasecmp;1
1141;637;dialog_textbox;1
1141;817;sym_set_tristate_value;1
1141;326;item_is_tag;1
1141;817;conf_parse;1
1141;817;menu_get_ext_help;1
1141;817;sym_toggle_tristate_value;1
1141;326;item_reset;1
1141;817;menu_get_prompt;1
1141;54;strcasecmp;1
1141;817;menu_is_visible;1
1141;817;conf_read;1
1141;202;snprintf;1
1141;817;str_free;1
1141;326;item_set_selected;1
1141;326;item_add_str;1
524;290;memmove;1
524;762;__errno_location;1
576;881;__pthread_key_create;1
391;577;__syscall_ret;1
55;657;log1p;1
60;1108;sqrtl;1
60;117;log1pl;1
60;763;logl;1
90;1091;getrlimit;1
89;577;__syscall_ret;1
214;1007;__timedwait;1
738;207;sprintf;1
738;1152;atoi;1
596;577;__syscall_ret;1
333;762;__errno_location;1
333;508;kill;1
137;762;__errno_location;1
137;932;pthread_sigmask;1
990;1248;memcpy;1
990;847;strcmp;1
864;0;__uflow;1
783;577;__syscall_ret;1
984;577;__syscall_ret;1
1190;1217;mbrtowc;1
1273;762;__errno_location;1
49;577;__syscall_ret;1
49;814;__syscall_cp;1
682;705;posix_spawn_file_actions_adddup2;1
682;854;fclose;1
682;1034;strchr;1
682;762;__errno_location;1
682;321;posix_spawn_file_actions_init;1
682;870;pipe2;1
682;803;fcntl;1
682;935;posix_spawn_file_actions_destroy;1
682;605;posix_spawn;1
682;487;__unlockfile;1
682;487;__lockfile;1
729;1010;getopt;1
729;396;strlen;1
729;1010;__getopt_msg;1
70;225;log1pf;1
159;777;memset;1
159;1274;mbtowc;1
159;762;__errno_location;1
159;144;vfwprintf;1
638;577;__syscall_ret;1
1010;396;strlen;1
1010;725;fwrite;1
1010;1274;mbtowc;1
1010;860;flockfile;1
1010;22;putc;1
1010;51;funlockfile;1
1010;761;__lctrans_cur;1
56;577;__syscall_ret;1
518;577;__syscall_ret;1
80;762;__errno_location;1
80;54;strcasecmp;1
1147;487;__unlockfile;1
